Reference, Quantity, Value, Footprint, Datasheet, seeed sku, JLC part number, Manufacturer part number, Mouser part number
C1 ,1,"10uF","Capacitor_SMD:C_1206_3216Metric","~","302010181","","",""
C2 ,1,"100uF","Capacitor_SMD:C_1206_3216Metric","~","302010183","","",""
C3 C4 C5 C6 C7 C8 ,6,"100nF","Capacitor_SMD:C_0402_1005Metric","~","302010004","C1525","",""
H1 ,1,"logo","Rare flowers:TFRAS","~"
J1 ,1,"BOTTOM","Connector_FFC-FPC:Molex_200528-0170_1x17-1MP_P1.00mm_Horizontal","~"
J3 ,1,"UPDI-POGO","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical"," ~","","---","",""
J4 ,1,"TOP","Connector_FFC-FPC:Molex_200528-0170_1x17-1MP_P1.00mm_Horizontal","~","","","200528-0170","538-200528-0170"
JPWR1 RS4851 ,2,"Conn_01x02_Female","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~","","---","",""
L1 ,1,"10uH","Inductor_SMD:L_0603_1608Metric","~","303010026","C1035","",""
R1 ,1,"100k","Resistor_SMD:R_0402_1005Metric","~","301010456	","","",""
R2 R7 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~","301010361","","",""
R3 R4 ,2,"13","Resistor_SMD:R_1206_3216Metric","~","301010405","C17903","",""
R8 ,1,"RTERM","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","---","",""
RST1 ,1,"TestPoint_Small","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","---","",""
TH1 ,1,"Thermistor_NTC_100K","Resistor_SMD:R_0603_1608Metric","~","314110001","","",""
U1 ,1,"ATmega4809-A","Package_QFP:TQFP-48_7x7mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40002016A.pdf","ATMEGA4809-AFR","C189475","",""
U2 ,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","AMS1117-3.3	","C6186","",""
U3 ,1,"MAX3471","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/285012fe.pdf","MAX3471EUA","","",""
U4 U5 ,2,"74HCT4051BQ","Rare flowers:SOT763-1(DHVQFN16)","http://www.ti.com/lit/ds/symlink/cd74hct4051.pdf","","C547696","",""